Unidad territorial, Variable, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
La Pintana, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
San Bernardo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 95.08, 96.43, 97.75, 94.9, 96.7, 92.5, 97.89, 96.55, 92.86, 94.02, 90.05, 90.99, 94.84, 86.32
Puente Alto, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 98.26, 99.21, 97.37, 96.49, 98.76, 97.16, 98.47, 94.19, 95.24, 91.48, 93.4, 89.87, 88.94, 87.79
Peñaflor, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 69.23, 72.73, 72.73, 77.78, 88.89, 69.23, 88.89, 90.91, 87.5, 84.62, 85.07, 81.82, 78.79, 66.13
Calera De Tango, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 95.96, 93.27, 96.18, 93.33, 93.33, 95.12, 98.17, 97.06, 88.67, 91.3, 94.78, 93.7, 95.21, 89.61
Pirque, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 92.86, 100.0, 87.1, 96.3, 92.86, 80.65, 93.55, 85.71, 87.88, 90.0, 93.02, 91.84, 88.1, 82.93
San José De Maipo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Talagante, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 97.56, 96.83, 96.28, 97.32, 96.82, 94.61, 95.32, 97.16, 96.25, 94.24, 95.22, 92.31, 91.8, 90.36
El Monte, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Melipilla, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 98.91, 94.44, 98.98, 93.97, 97.12, 93.52, 93.4, 93.68, 96.77, 92.91, 91.84, 92.56, 89.47, 92.04
Buin, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 99.25, 98.78, 98.68, 97.93, 98.65, 99.4, 97.55, 96.86, 97.87, 94.31, 86.75, 92.89, 90.91, 92.54
Isla De Maipo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Paine, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 88.89, 95.24, 90.91, 89.47, 95.45, 100.0, 100.0, 94.44, 100.0, 100.0, 88.0, 95.0, 94.44, 94.44
San Pedro, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Alhué, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
