Unidad territorial, Variable, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
Puente Alto, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 36.92, 43.01, 41.15, 40.1, 40.54, 42.46, 40.93, 40.9, 40.82, 46.24, 48.17, 45.64, 44.51, 45.27
Peñaflor, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 41.73, 31.29, 39.37, 28.16, 35.62, 37.88, 28.0, 32.69, 35.59, 23.88, 38.64, 26.98, 27.12, 41.07
Calera De Tango, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 20.0, 19.15, 32.88, 16.05, 16.13, 24.14, 22.95, 21.21, 23.61, 16.44, 38.36, 27.78, 39.71, 36.84
Pirque, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 30.0, 17.65, 12.5, 8.33, 23.53, 42.11, 37.21, 25.58, 36.17, 45.45, 29.85, 39.02, 40.91, 36.23
San José De Maipo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 19.78, 18.09, 18.75, 14.08, 13.56, 19.12, 22.22, 16.95, 35.48, 29.63, 35.14, 27.78, 25.93, 39.71
Talagante, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 30.0, 32.72, 35.25, 31.98, 28.57, 30.71, 25.33, 43.6, 48.86, 50.34, 51.45, 58.03, 56.38, 56.75
El Monte, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 26.19, 25.58, 25.0, 24.14, 5.26, 9.09, 16.67, 31.82, 16.67, 10.0, 10.71, 28.57, 28.13, 15.0
Melipilla, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 25.19, 22.51, 28.04, 27.99, 26.88, 29.9, 29.51, 25.96, 31.52, 40.68, 32.45, 34.99, 38.51, 47.46
Buin, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 31.16, 30.41, 36.05, 30.51, 29.08, 32.53, 27.54, 29.46, 27.52, 34.89, 33.64, 33.19, 33.98, 37.44
Isla De Maipo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 24.76, 25.55, 34.71, 23.03, 27.1, 23.66, 35.71, 32.5, 32.38, 42.26, 41.88, 44.59, 41.84, 54.62
Paine, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 19.46, 23.73, 18.91, 12.61, 22.45, 25.36, 25.54, 29.95, 20.86, 30.57, 37.15, 35.06, 38.85, 37.14
San Pedro, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 38.46, 31.71, 40.48, 14.63, 26.19, 14.29, 29.63, 36.21, 34.04, 36.96, 27.27, 22.64, 28.57, 40.0
Alhué, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 42.22, 45.16, 39.39, 37.14, 37.78, 45.95, 27.66, 62.5, 41.3, 41.18, 32.35, 55.26, 40.91, 36.36
